title,author,ISBN,rating,rating count,url
Instructions for Dancing,Nicola Yoon,NOT AVAILABLE,4.07,20.6k,https://www.goodreads.com/book/show/55600878-instructions-for-dancing
It Happened One Summer,Tessa Bailey, 9780063045651,4.13,55.9k,https://www.goodreads.com/book/show/55659629-it-happened-one-summer
The Paper Palace,Miranda Cowley Heller,NOT AVAILABLE,3.91,68.8k,https://www.goodreads.com/book/show/55994372-the-paper-palace
The Final Girl Support Group,Grady Hendrix, 9780593201237,3.67,32k,https://www.goodreads.com/book/show/55829194-the-final-girl-support-group
Not a Happy Family,Shari Lapena, 9781984880550,3.85,52.4k,https://www.goodreads.com/book/show/56366617-not-a-happy-family
She Who Became the Sun,Shelley Parker-Chan,NOT AVAILABLE,4.01,12.4k,https://www.goodreads.com/book/show/48727813-she-who-became-the-sun
Any Way the Wind Blows,Rainbow Rowell, 9781250254337,4.2,25.8k,https://www.goodreads.com/book/show/52190991-any-way-the-wind-blows
Such a Quiet Place,Megan Miranda,NOT AVAILABLE,3.47,19.3k,https://www.goodreads.com/book/show/55711642-such-a-quiet-place
Such a Quiet Place,Elizabeth Lim,NOT AVAILABLE,4.31,12.6k,https://www.goodreads.com/book/show/53457092-six-crimson-cranes
Gods & Monsters,Shelby Mahurin,NOT AVAILABLE,4.09,15.2k,https://www.goodreads.com/book/show/52535769-gods-monsters
The Therapist,B.A. Paris, 9781250274120,3.75,29.9k,https://www.goodreads.com/book/show/54860390-the-therapist
These Hollow Vows,Lexi Ryan,NOT AVAILABLE,4.1,14k,https://www.goodreads.com/book/show/53422971-these-hollow-vows
Falling,T.J. Newman, 9781982177881,3.93,33.5k,https://www.goodreads.com/book/show/56614951-falling
Razorblade Tears,S.A. Cosby,NOT AVAILABLE,4.18,25.1k,https://www.goodreads.com/book/show/54860585-razorblade-tears
For Your Own Good,Samantha  Downing,NOT AVAILABLE,3.87,15.4k,https://www.goodreads.com/book/show/52379865-for-your-own-good
For Your Own Good,Tess Gerritsen,NOT AVAILABLE,4.01,23k,https://www.goodreads.com/book/show/54503622-choose-me
The Heart Principle,Helen Hoang, 9780451490841,4.08,38.3k,https://www.goodreads.com/book/show/50056075-the-heart-principle
A Slow Fire Burning,Paula Hawkins, 9780735211230,3.54,41.8k,https://www.goodreads.com/book/show/56213354-a-slow-fire-burning
Billy Summers,Stephen King, 9781982173616,4.29,56.8k,https://www.goodreads.com/book/show/56852407-billy-summers
We Were Never Here,Andrea Bartz,NOT AVAILABLE,3.6,37.4k,https://www.goodreads.com/book/show/56084054-we-were-never-here
We Are the Brennans,Tracey Lange, 9781250796226,3.9,28k,https://www.goodreads.com/book/show/55169040-we-are-the-brennans
We Are the Brennans,Sabaa Tahir,NOT AVAILABLE,4.36,30.9k,https://www.goodreads.com/book/show/31520883-a-sky-beyond-the-storm
The Reading List,Sara Nisha Adams, 9780063025288,4.11,10.5k,https://www.goodreads.com/book/show/55276648-the-reading-list
The People We Keep,Allison Larkin, 9781982171292,4.24,18k,https://www.goodreads.com/book/show/55711726-the-people-we-keep
Once There Were Wolves,Charlotte McConaghy, 9781250244147,4.24,18.3k,https://www.goodreads.com/book/show/54860573-once-there-were-wolves
Once There Were Wolves,Sarah       Adams,NOT AVAILABLE,3.82,23.8k,https://www.goodreads.com/book/show/58100280-the-cheat-sheet
A Lesson in Vengeance,Victoria  Lee, 9780593305829,3.72,"6,765",https://www.goodreads.com/book/show/50999821-a-lesson-in-vengeance
Velvet Was the Night,Silvia Moreno-Garcia, 9780593356821,3.58,"8,131",https://www.goodreads.com/book/show/54746205-velvet-was-the-night
My Heart Is a Chainsaw,Stephen Graham Jones, 9781982137632,3.67,"8,101",https://www.goodreads.com/book/show/55711617-my-heart-is-a-chainsaw
In My Dreams I Hold a Knife,Ashley Winstead,NOT AVAILABLE,4.08,"8,947",https://www.goodreads.com/book/show/50485649-in-my-dreams-i-hold-a-knife
The Love Songs of W.E.B. Du Bois,Honorée Fanonne Jeffers, 9780062942937,4.55,"3,831",https://www.goodreads.com/book/show/51183428-the-love-songs-of-w-e-b-du-bois
The Love Hypothesis,Ali Hazelwood, 9780593336823,4.44,143k,https://www.goodreads.com/book/show/56732449-the-love-hypothesis
The Love Hypothesis,Sally Rooney,NOT AVAILABLE,3.77,81.3k,https://www.goodreads.com/book/show/56597885-beautiful-world-where-are-you
Apples Never Fall,Liane Moriarty, 9781250220257,3.91,78.6k,https://www.goodreads.com/book/show/56143578-apples-never-fall
Cloud Cuckoo Land,Anthony Doerr, 9781982168438,4.3,22.7k,https://www.goodreads.com/book/show/56783258-cloud-cuckoo-land
Under the Whispering Door,T.J. Klune, 9781250217349,4.29,27.4k,https://www.goodreads.com/book/show/53205888-under-the-whispering-door
Rock Paper Scissors,Alice Feeney, 9781250266101,4.04,47.4k,https://www.goodreads.com/book/show/56269064-rock-paper-scissors
The Ex Hex,Erin Sterling, 9780063027473,3.61,47.4k,https://www.goodreads.com/book/show/56554626-the-ex-hex
The Night She Disappeared,Lisa Jewell, 9781982137366,4.19,38.8k,https://www.goodreads.com/book/show/55922299-the-night-she-disappeared
The Hawthorne Legacy,Jennifer Lynn Barnes,NOT AVAILABLE,4.22,32.4k,https://www.goodreads.com/book/show/50531218-the-hawthorne-legacy
Harlem Shuffle,Colson Whitehead, 9780385545136,3.86,17k,https://www.goodreads.com/book/show/54626223-harlem-shuffle
Once Upon a Broken Heart,Stephanie Garber, 9781250268396,4.22,16.2k,https://www.goodreads.com/book/show/55987278-once-upon-a-broken-heart
Iron Widow,Xiran Jay Zhao, 9780735269934,4.34,10.6k,https://www.goodreads.com/book/show/52459864-iron-widow
The Wish,Nicholas Sparks, 9781538728628,4.5,20.1k,https://www.goodreads.com/book/show/56625098-the-wish
The Man Who Died Twice,Richard Osman,NOT AVAILABLE,4.52,30.5k,https://www.goodreads.com/book/show/55457493-the-man-who-died-twice
Bewilderment,Richard Powers, 9780393881141,4.05,13.1k,https://www.goodreads.com/book/show/56404444-bewilderment
You've Reached Sam,Dustin Thao, 9781250762030,4.04,"6,181",https://www.goodreads.com/book/show/53086843-you-ve-reached-sam
Wish You Were Here,Jodi Picoult, 9781984818416,4.2,"8,852",https://www.goodreads.com/book/show/57701764-wish-you-were-here
Our Violent Ends,Chloe Gong, 9781529344561,4.6,"7,469",https://www.goodreads.com/book/show/44084762-our-violent-ends
Go Tell the Bees That I Am Gone,Diana Gabaldon, 9781101885680,4.56,"7,822",https://www.goodreads.com/book/show/57700492-go-tell-the-bees-that-i-am-gone
You'll Be the Death of Me,Karen M. McManus, 9780593175866,3.95,"3,286",https://www.goodreads.com/book/show/56200366-you-ll-be-the-death-of-me
One of Us Is Lying,Karen M. McManus, 9780593565377,4.03,418k,https://www.goodreads.com/book/show/58679358-one-of-us-is-lying
The Sentence,Louise Erdrich, 9780062671127,4.16,"3,956",https://www.goodreads.com/book/show/56816904-the-sentence
Gilded,Marissa Meyer,NOT AVAILABLE,4,"3,985",https://www.goodreads.com/book/show/56614597-gilded
King of Battle and Blood,Scarlett  St. Clair,NOT AVAILABLE,3.99,"5,552",https://www.goodreads.com/book/show/56651967-king-of-battle-and-blood
All Her Little Secrets,Wanda M. Morris, 9780063204331,3.77,"2,076",https://www.goodreads.com/book/show/57505278-all-her-little-secrets
Lore Olympus: Volume One,Rachel  Smythe,NOT AVAILABLE,4.55,12.5k,https://www.goodreads.com/book/show/57282218-lore-olympus
All of Us Villains,Amanda Foody, 9781250789259,4.03,"2,729",https://www.goodreads.com/book/show/56179338-all-of-us-villains
All of Us Villains,Teresa Driscoll,NOT AVAILABLE,4.05,14.4k,https://www.goodreads.com/book/show/55886430-her-perfect-family
These Silent Woods,Kimi Cunningham Grant, 9781250793393,4.28,"2,002",https://www.goodreads.com/book/show/56268973-these-silent-woods
Aurora's End,Amie Kaufman, 9781524720889,4.36,"4,085",https://www.goodreads.com/book/show/40516976-aurora-s-end
